Time,Latitude,Longitude,Heading,WindSpeed,WindDirection,RudderAngle,SailAngle
19:07:30,0.000000,0.000000,87.30,0.00,330,90,90
19:07:32,0.000000,0.000000,87.30,0.00,330,90,90
19:07:33,0.000000,0.000000,87.30,0.00,330,90,90
19:07:34,0.000000,0.000000,87.30,0.00,330,90,90
19:07:35,0.000000,0.000000,87.20,0.00,330,90,90
19:07:37,0.000000,0.000000,90.70,0.00,330,90,90
19:07:38,0.000000,0.000000,90.80,0.00,330,90,90
19:07:39,0.000000,0.000000,90.80,0.00,330,90,90
19:07:41,0.000000,0.000000,90.80,0.00,330,90,90
19:07:42,0.000000,0.000000,91.50,0.00,330,90,90
19:07:43,0.000000,0.000000,91.30,0.00,330,90,90
19:07:44,0.000000,0.000000,92.00,0.00,330,90,90
19:07:45,0.000000,0.000000,97.70,0.00,330,90,90
19:07:47,0.000000,0.000000,98.50,0.00,330,90,90
19:07:47,0.000000,0.000000,99.10,0.00,330,90,90
19:07:49,0.000000,0.000000,98.90,0.00,330,90,90
19:07:51,0.000000,0.000000,98.90,0.00,330,90,90
19:07:52,0.000000,0.000000,98.90,0.00,330,90,90
19:07:53,0.000000,0.000000,98.90,0.00,330,90,90
19:07:54,0.000000,0.000000,98.90,0.00,330,90,90
19:07:56,0.000000,0.000000,98.80,0.00,330,90,90
19:07:57,0.000000,0.000000,98.80,0.00,330,90,90
19:07:58,0.000000,0.000000,98.70,0.00,330,90,90
19:07:59,0.000000,0.000000,98.70,0.00,330,90,90
19:08:00,0.000000,0.000000,98.70,0.00,330,90,90
19:08:02,0.000000,0.000000,99.60,0.00,330,90,90
19:08:03,0.000000,0.000000,99.60,0.00,330,90,90
19:08:04,0.000000,0.000000,99.60,0.00,331,90,90
19:08:06,0.000000,0.000000,98.80,0.00,330,90,90
19:08:07,0.000000,0.000000,98.80,0.00,330,90,90
19:08:08,0.000000,0.000000,98.70,0.00,330,90,90
19:08:09,0.000000,0.000000,99.00,0.00,330,90,90
19:08:10,0.000000,0.000000,99.60,0.00,330,90,90
19:08:12,0.000000,0.000000,100.20,0.00,330,90,90
19:08:13,0.000000,0.000000,100.20,0.00,330,90,90
19:08:14,0.000000,0.000000,100.30,0.00,331,90,90
19:08:16,0.000000,0.000000,100.20,0.00,330,90,90
19:08:17,0.000000,0.000000,100.60,0.00,330,90,90
19:08:18,0.000000,0.000000,100.60,0.00,330,90,90
19:08:19,0.000000,0.000000,100.60,0.00,331,90,90
19:08:21,0.000000,0.000000,100.60,0.00,330,90,90
19:08:22,0.000000,0.000000,100.60,0.00,330,90,90
19:08:23,0.000000,0.000000,100.50,0.00,330,90,90
19:08:25,0.000000,0.000000,100.30,0.00,330,90,90
19:08:25,0.000000,0.000000,100.30,0.00,330,90,90
19:08:27,0.000000,0.000000,99.50,0.00,330,90,90
19:08:28,0.000000,0.000000,99.70,0.00,330,90,90
19:08:30,0.000000,0.000000,99.70,0.00,330,90,90
19:08:31,0.000000,0.000000,99.70,0.00,330,90,90
19:08:32,0.000000,0.000000,99.70,0.00,330,90,90
19:08:32,0.000000,0.000000,99.80,0.00,330,90,90
19:08:32,0.000000,0.000000,99.70,0.00,330,90,90
19:08:32,0.000000,0.000000,100.60,0.00,330,90,90
19:08:32,0.000000,0.000000,101.60,0.00,330,90,90
19:08:32,0.000000,0.000000,101.60,0.00,330,90,90
19:08:32,0.000000,0.000000,101.60,0.00,330,90,90
23:59:43,0.000000,0.000000,41.70,0.00,330,90,90
23:59:44,0.000000,0.000000,42.00,0.00,330,90,90
23:59:45,0.000000,0.000000,42.00,0.00,330,90,90
23:59:47,0.000000,0.000000,42.00,0.00,330,90,90
23:59:48,0.000000,0.000000,42.00,0.00,330,90,90
23:59:49,0.000000,0.000000,42.00,0.00,330,90,90
23:59:50,0.000000,0.000000,42.00,0.00,330,90,90
23:59:52,0.000000,0.000000,42.00,0.00,330,90,90
23:59:53,0.000000,0.000000,41.90,0.00,330,90,90
23:59:54,0.000000,0.000000,41.90,0.00,330,90,90
23:59:55,0.000000,0.000000,41.90,0.00,330,90,90
23:59:57,0.000000,0.000000,40.60,0.00,330,90,90
23:59:58,0.000000,0.000000,40.10,0.00,330,90,90
23:59:59,0.000000,0.000000,40.10,0.00,330,90,90
00:00:00,0.000000,0.000000,40.10,0.00,330,90,90
00:00:02,0.000000,0.000000,40.20,0.00,330,90,90
00:00:00,0.000000,0.000000,40.20,0.00,330,90,90
00:00:07,0.000000,0.000000,40.20,0.00,330,90,90
00:00:08,0.000000,0.000000,40.20,0.00,330,90,90
00:00:09,0.000000,0.000000,40.20,0.00,330,90,90
00:00:00,0.000000,0.000000,24.80,0.00,330,90,90
00:00:19,0.000000,0.000000,39.80,0.00,330,90,90
00:00:21,0.000000,0.000000,46.10,0.00,330,90,90
00:00:22,0.000000,0.000000,46.50,0.00,330,90,90
00:00:23,0.000000,0.000000,46.90,0.00,330,90,90
00:00:24,0.000000,0.000000,346.80,0.00,330,90,90
00:00:26,0.000000,0.000000,48.50,0.00,330,90,90
00:00:27,0.000000,0.000000,79.90,0.00,330,90,90
00:00:28,0.000000,0.000000,27.30,0.00,330,90,90
00:00:29,0.000000,0.000000,356.30,0.00,330,90,90
00:00:31,0.000000,0.000000,344.20,0.00,330,90,90
00:00:32,0.000000,0.000000,334.10,0.00,330,90,90
00:00:33,0.000000,0.000000,332.20,0.00,330,90,90
00:00:34,0.000000,0.000000,21.50,0.00,330,90,90
00:00:36,0.000000,0.000000,17.00,0.00,330,90,90
00:00:37,0.000000,0.000000,17.20,0.00,330,90,90
00:00:38,0.000000,0.000000,17.20,0.00,330,90,90
23:59:44,0.000000,0.000000,44.90,0.00,330,90,90
23:59:45,0.000000,0.000000,44.90,0.00,330,90,90
23:59:47,0.000000,0.000000,44.90,0.00,330,90,90
23:59:48,0.000000,0.000000,44.90,0.00,330,90,90
23:59:49,0.000000,0.000000,44.90,0.00,330,90,90
23:59:51,0.000000,0.000000,44.90,0.00,330,90,90
23:59:52,0.000000,0.000000,44.90,0.00,330,90,90
23:59:53,0.000000,0.000000,44.90,0.00,330,90,90
23:59:54,0.000000,0.000000,46.60,0.00,330,90,90
23:59:56,0.000000,0.000000,46.60,0.00,330,90,90
23:59:57,0.000000,0.000000,46.60,0.00,330,90,90
23:59:58,0.000000,0.000000,46.60,0.00,330,90,90
23:59:59,0.000000,0.000000,46.60,0.00,330,90,90
00:00:01,0.000000,0.000000,47.20,0.00,330,90,90
00:00:02,0.000000,0.000000,48.70,0.00,330,90,90
00:00:03,0.000000,0.000000,47.10,0.00,330,90,90
00:00:04,0.000000,0.000000,48.00,0.00,330,90,90
00:00:06,0.000000,0.000000,48.40,0.00,330,90,90
00:00:07,0.000000,0.000000,48.50,0.00,330,90,90
00:00:08,0.000000,0.000000,48.50,0.00,330,90,90
00:00:09,0.000000,0.000000,48.50,0.00,330,90,90
00:00:11,0.000000,0.000000,48.50,0.00,330,90,90
00:00:12,0.000000,0.000000,48.50,0.00,330,90,90
00:00:13,0.000000,0.000000,48.50,0.00,330,90,90
00:00:14,0.000000,0.000000,48.20,0.00,330,90,90
00:00:16,0.000000,0.000000,47.80,0.00,330,90,90
00:00:17,0.000000,0.000000,47.80,0.00,330,90,90
00:00:18,0.000000,0.000000,47.80,0.00,330,90,90
00:00:19,0.000000,0.000000,47.80,0.00,330,90,90
00:00:21,0.000000,0.000000,48.80,0.00,330,90,90
00:00:22,0.000000,0.000000,48.50,0.00,330,90,90
00:00:23,0.000000,0.000000,47.30,0.00,330,90,90
00:00:24,0.000000,0.000000,47.30,0.00,330,90,90
00:00:26,0.000000,0.000000,47.30,0.00,330,90,90
00:00:27,0.000000,0.000000,47.30,0.00,330,90,90
00:00:28,0.000000,0.000000,47.30,0.00,330,90,90
00:00:29,0.000000,0.000000,47.30,0.00,330,90,90
00:00:31,0.000000,0.000000,47.30,0.00,330,90,90
00:00:32,0.000000,0.000000,47.30,0.00,330,90,90
00:00:33,0.000000,0.000000,47.20,0.00,330,90,90
00:00:34,0.000000,0.000000,47.20,0.00,330,90,90
00:00:36,0.000000,0.000000,47.20,0.00,330,90,90
00:00:37,0.000000,0.000000,47.20,0.00,330,90,90
00:00:38,0.000000,0.000000,47.10,0.00,330,90,90
00:00:39,0.000000,0.000000,47.30,0.00,330,90,90
00:00:41,0.000000,0.000000,47.30,0.00,330,90,90
00:00:42,0.000000,0.000000,47.20,0.00,330,90,90
00:00:43,0.000000,0.000000,47.20,0.00,330,90,90
00:00:44,0.000000,0.000000,47.20,0.00,330,90,90
00:00:46,0.000000,0.000000,47.10,0.00,330,90,90
00:00:47,0.000000,0.000000,47.30,0.00,330,90,90
00:00:48,0.000000,0.000000,47.20,0.00,330,90,90
00:00:49,0.000000,0.000000,47.30,0.00,330,90,90
00:00:51,0.000000,0.000000,46.20,0.00,330,90,90
00:00:52,0.000000,0.000000,46.30,0.00,330,90,90
00:00:53,0.000000,0.000000,46.30,0.00,330,90,90
00:00:54,0.000000,0.000000,45.50,0.00,330,90,90
00:00:56,0.000000,0.000000,45.50,0.00,330,90,90
00:00:57,0.000000,0.000000,45.50,0.00,330,90,90
00:00:58,0.000000,0.000000,45.50,0.00,330,90,90
00:00:59,0.000000,0.000000,45.50,0.00,330,90,90
00:01:01,0.000000,0.000000,45.50,0.00,330,90,90
00:01:02,0.000000,0.000000,47.00,0.00,330,90,90
00:01:03,0.000000,0.000000,47.50,0.00,330,90,90
00:01:04,0.000000,0.000000,47.50,0.00,330,90,90
00:01:06,0.000000,0.000000,47.50,0.00,330,90,90
00:01:07,0.000000,0.000000,47.50,0.00,330,90,90
00:01:08,0.000000,0.000000,48.20,0.00,330,90,90
00:01:09,0.000000,0.000000,48.20,0.00,330,90,90
00:01:11,0.000000,0.000000,48.20,0.00,330,90,90
00:01:12,0.000000,0.000000,48.20,0.00,330,90,90
00:01:13,0.000000,0.000000,47.90,0.00,330,90,90
00:01:14,0.000000,0.000000,47.90,0.00,330,90,90
00:01:16,0.000000,0.000000,47.80,0.00,330,90,90
00:01:17,0.000000,0.000000,47.90,0.00,330,90,90
00:01:18,0.000000,0.000000,47.70,0.00,330,90,90
00:01:19,0.000000,0.000000,47.70,0.00,330,90,90
00:01:21,0.000000,0.000000,47.70,0.00,330,90,90
00:01:22,0.000000,0.000000,47.70,0.00,330,90,90
00:01:23,0.000000,0.000000,47.90,0.00,330,90,90
00:01:24,0.000000,0.000000,49.80,0.00,330,90,90
00:01:26,0.000000,0.000000,49.80,0.00,330,90,90
00:01:27,0.000000,0.000000,61.60,0.00,330,90,90
00:01:28,0.000000,0.000000,48.60,0.00,330,90,90
00:01:29,0.000000,0.000000,48.40,0.00,330,90,90
00:01:31,0.000000,0.000000,46.40,0.00,330,90,90
00:01:32,0.000000,0.000000,46.30,0.00,330,90,90
00:01:33,0.000000,0.000000,46.60,0.00,330,90,90
00:01:34,0.000000,0.000000,46.60,0.00,330,90,90
00:01:36,0.000000,0.000000,46.70,0.00,330,90,90
00:01:37,0.000000,0.000000,46.80,0.00,330,90,90
00:01:38,0.000000,0.000000,46.80,0.00,330,90,90
00:01:40,0.000000,0.000000,46.80,0.00,330,90,90
00:01:41,0.000000,0.000000,46.80,0.00,330,90,90
00:01:42,0.000000,0.000000,46.80,0.00,330,90,90
00:01:43,0.000000,0.000000,46.80,0.00,330,90,90
00:01:45,0.000000,0.000000,46.80,0.00,330,90,90
00:01:46,0.000000,0.000000,46.80,0.00,330,90,90
00:01:47,0.000000,0.000000,46.80,0.00,330,90,90
00:01:48,0.000000,0.000000,46.80,0.00,330,90,90
00:01:50,0.000000,0.000000,46.80,0.00,330,90,90
00:01:51,0.000000,0.000000,46.80,0.00,330,90,90
00:01:52,0.000000,0.000000,46.80,0.00,330,90,90
00:01:53,0.000000,0.000000,46.80,0.00,330,90,90
00:01:55,0.000000,0.000000,46.80,0.00,330,90,90
00:01:56,0.000000,0.000000,46.80,0.00,330,90,90
00:01:57,0.000000,0.000000,46.80,0.00,330,90,90
00:01:58,0.000000,0.000000,46.80,0.00,330,90,90
00:02:00,0.000000,0.000000,46.80,0.00,330,90,90
00:02:01,0.000000,0.000000,46.80,0.00,330,90,90
00:02:02,0.000000,0.000000,46.80,0.00,330,90,90
00:02:03,0.000000,0.000000,46.80,0.00,330,90,90
00:02:05,0.000000,0.000000,46.80,0.00,330,90,90
00:02:06,0.000000,0.000000,46.80,0.00,330,90,90
23:59:43,0.000000,0.000000,44.10,0.00,330,90,90
23:59:44,0.000000,0.000000,44.00,0.00,330,90,90
23:59:54,0.000000,0.000000,44.00,0.00,330,64,45
23:59:59,0.000000,0.000000,44.00,0.00,330,64,45
00:00:00,0.000000,0.000000,44.00,0.00,330,64,45
00:00:01,0.000000,0.000000,44.00,0.00,330,64,45
00:00:03,0.000000,0.000000,44.00,0.00,330,64,45
00:00:04,0.000000,0.000000,44.00,0.00,330,64,45
00:00:05,0.000000,0.000000,17.40,0.00,330,64,45
00:00:07,0.000000,0.000000,326.00,0.00,330,64,45
19:45:32,0.000000,0.000000,38.80,0.00,330,64,45
19:45:33,0.000000,0.000000,80.40,0.00,330,64,45
19:45:34,0.000000,0.000000,59.10,0.00,330,64,45
19:45:36,0.000000,0.000000,348.40,0.00,330,64,45
19:45:37,0.000000,0.000000,293.50,0.00,330,64,45
19:45:38,0.000000,0.000000,305.80,0.00,330,64,45
19:45:40,0.000000,0.000000,98.80,0.00,330,64,45
19:45:41,0.000000,0.000000,27.70,0.00,330,64,45
19:45:42,0.000000,0.000000,327.00,0.00,330,64,45
19:45:43,0.000000,0.000000,30.70,0.00,330,64,45
19:45:45,0.000000,0.000000,99.90,0.00,330,64,45
19:45:46,0.000000,0.000000,5.40,0.00,330,64,45
19:45:47,0.000000,0.000000,320.80,0.00,330,64,45
19:45:49,0.000000,0.000000,292.70,0.00,330,64,45
19:45:50,0.000000,0.000000,36.00,0.00,330,64,45
19:45:51,0.000000,0.000000,152.30,0.00,330,64,45
19:45:52,0.000000,0.000000,143.80,0.00,330,64,45
19:45:54,0.000000,0.000000,243.90,0.00,330,64,45
19:45:55,0.000000,0.000000,305.70,0.00,330,64,45
19:45:56,0.000000,0.000000,194.80,0.00,330,64,45
